Username,Paket Internet,Total Online (detik),Total Kuota (bytes),Nama Paket,Wilayah Pemasaran,Wilayah (Mapping Alamat),Kecepatan,Harga (Rp),Implicit Rating
DANAN,WARGANET Lite 150,0.5116853479897533,0.026513157894736846,WARGANET Lite 150,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",10.0,150000,0.26909925294224507
ELFA,WARGANET Lite 100,0.0,0.0,WARGANET Lite 100,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",4.0,100000,0.0
Pbr@agustobing.tbb,ACSPINANG 330,0.4358893918802937,0.13815789473684212,ACSPINANG 330,"Pinang, Pabuaran, Katomas, Leuwihalu","PWS, Sudirman, Tigaraksa",50.0,330000,0.2870236433085679
Sdr@mrizalfahmi,ACS Lite 165,0.0,0.0,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.0
Sdr@putriida,ACS Lite 100,0.4409311351254429,0.06710526315789474,ACS Lite 100,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",4.0,100000,0.25401819914166884
abyan3madura@pws,ACS Lite 150,0.4449210289524063,0.056447368421052635,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.2506841986867295
agusai31_12a@pws,ACS Lite 250,0.42544975394663903,0.08157894736842106,ACS Lite 250,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",35.0,250000,0.25351435065753003
agusriyatno@pws,ACS Lite 165,0.4399769335224061,0.1973684210526316,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.31867267728751886
ahmadmujiyono@pws,ACS Lite 130,0.44144732238620915,0.02723684210526316,ACS Lite 130,"PWS, Sudirman, Tigaraksa",,6.0,130000,0.23434208224573616
andik@pws,ACS Lite 130,0.3732508809486584,0.03703947368421053,ACS Lite 130,"PWS, Sudirman, Tigaraksa",,6.0,130000,0.20514517731643445
andikadahlia@pws,ACS Lite 100,0.43562125330321577,0.0468421052631579,ACS Lite 100,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",4.0,100000,0.24123167928318684
angga,ACS Lite 100,0.41826092042871554,0.04421052631578948,ACS Lite 100,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",4.0,100000,0.2312357233722525
bambang@pws,ACS Lite 165,0.38923860944044586,0.004761475487960526,ACS Lite 165,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",15.0,165000,0.1970000424642032
boningan@pws,ACS Pws 100 3Mbps,0.48563107958440427,0.035,ACS Pws 100 3Mbps,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",3.0,100000,0.2603155397922021
dapurjumatberkah@pws,ACS Lite 150,0.4247274061132315,0.10921052631578948,ACS Lite 150,"PWS, Sudirman, Tigaraksa",,10.0,150000,0.2669689662145105
deniuduk@pws,ACS Lite 130,0.42724861940065967,0.015065789473684211,ACS Lite 130,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",6.0,130000,0.22115720443717193
depren@pws_jolly2,ACS Lite 330,0.45914501513711964,0.03690789473684211,ACS Lite 330,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",50.0,330000,0.2480264549369809
depren@ruko_tr2,ACS Lite 150,0.41447773383815906,0.02335526315789474,ACS Lite 150,"PWS, Sudirman, Tigaraksa","PWS, Sudirman, Tigaraksa",10.0,150000,0.2189164984980269
dewi@pws,ACS Lite 150,0.5002431287097969,0.01835526315789474,ACS Lite 150,"PWS, Sudirman, Tigaraksa",,10.0,150000,0.2592991959338458
duryat@pws,ACS Pws 140 5Mbps,0.4406284883981549,0.06644736842105264,ACS Pws 140 5Mbps,"PWS, Sudirman, Tigaraksa",,5.0,140000,0.25353792840960376
elizmayang@pws,ACS Lite 130,0.8836807472675011,0.020855263157894738,ACS Lite 130,"PWS, Sudirman, Tigaraksa",,6.0,130000,0.45226800521269794
fg2@agussiswoyo.e1no6,ACSPINANG 165,0.4301802405101903,0.04,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.23509012025509515
fg2@kaidar.a5no30,ACSPINANG 165,0.38773610408040765,0.09078947368421053,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.2392627888823091
fg2@mamat.e1no3,ACSPINANG 165,0.4296808631602195,0.08750000000000001,ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",,10.0,165000,0.25859043158010975
