Nama Paket,Wilayah Pemasaran,Kecepatan,Harga (Rp)
ACS Pws 100 3Mbps,"PWS, Sudirman, Tigaraksa",3 Mbps,100000
ACS Pws 140 5Mbps,"PWS, Sudirman, Tigaraksa",5 Mbps,140000
ACS Pws 150 7Mbps,"PWS, Sudirman, Tigaraksa",7 Mbps,150000
ACS Home 165,"PWS, Sudirman, Tigaraksa",10 Mbps,165000
ACS CONNECT 185,"PWS, Sudirman, Tigaraksa",20 Mbps,185000
ACS Home 250,"PWS, Sudirman, Tigaraksa",30 Mbps,250000
ACS Lite 50,"PWS, Sudirman, Tigaraksa",1.5 Mbps,50000
ACS Lite 80,"PWS, Sudirman, Tigaraksa",2.5 Mbps,80000
ACS Lite 100 75,"PWS, Sudirman, Tigaraksa",3 Mbps,75000
ACS Lite 100,"PWS, Sudirman, Tigaraksa",4 Mbps,100000
ACS Lite 130,"PWS, Sudirman, Tigaraksa",6 Mbps,130000
ACS Lite 150,"PWS, Sudirman, Tigaraksa",10 Mbps,150000
ACS Lite 165,"PWS, Sudirman, Tigaraksa",15 Mbps,165000
ACS Lite 220,"PWS, Sudirman, Tigaraksa",25 Mbps,220000
ACS Lite 250,"PWS, Sudirman, Tigaraksa",35 Mbps,250000
ACS Lite 330,"PWS, Sudirman, Tigaraksa",50 Mbps,330000
ACSPINANG 165,"Pinang, Pabuaran, Katomas, Leuwihalu",10 Mbps,165000
ACSPINANG 220,"Pinang, Pabuaran, Katomas, Leuwihalu",20 Mbps,220000
ACSPINANG 250,"Pinang, Pabuaran, Katomas, Leuwihalu",30 Mbps,250000
ACSPINANG 330,"Pinang, Pabuaran, Katomas, Leuwihalu",50 Mbps,330000
WARGANET Lite 100,"Pinang, Pabuaran, Katomas, Leuwihalu",4 Mbps,100000
WARGANET Lite 150,"Pinang, Pabuaran, Katomas, Leuwihalu",10 Mbps,150000
